id,name,type,district,taluk,address,latitude,longitude,recognition_status,contact_phone,contact_email,official_source_id,last_verified,geocoding_status,geocoding_source,geocoded_at,geocoding_confidence,geocoding_query
tc-045,"Jnana Jyothi Industrial Training Centre, Sedam",Private ITI,Kalaburagi,,Sedam,17.177268,77.282355,private-recognized,9449636350,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.470312+00:00,HIGH,"Sedam, Kalaburagi, Karnataka, India"
tc-046,Sri Noorandeshwar ITC Jewargi,Private ITI,Kalaburagi,,At Post: Naribol Road Jewargi,,,private-recognized,08442-290163,,src-024,2026-09-05,FAILED,,,LOW,"Naribol Road Jewargi, Kalaburagi, Karnataka, India"
tc-047,Adarsh Educational Trust PROF.P.S.CHOUDARY I..T.I Kalaburagi,Private ITI,Kalaburagi,,Swamy Vivekanand Nagar Near Santosh Colony Aland Road Kalaburagi,,,private-recognized,08472-222858,,src-024,2026-09-05,FAILED,,,LOW,"Swamy Vivekanand Nagar Santosh Colony Aland Road Kalaburagi, Kalaburagi, Karnataka, India"
tc-048,Shree Basaveshwar Industrial Training Centre,Private ITI,Kalaburagi,,At Post: Farhatabad Tq: Kalaburagi,17.182993,76.791694,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.470920+00:00,HIGH,"Farhatabad : Kalaburagi, Kalaburagi, Karnataka, India"
tc-049,Sharana Basaveshwara Industrial Training Centre Chittapur Tq,Private ITI,Kalaburagi,,Chittapur Tq,17.100576,77.047589,private-recognized,9945290836,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.471074+00:00,HIGH,"Chittapur, Kalaburagi, Karnataka, India"
tc-050,Sri Gurudatta Industrial Training Centre,Private ITI,Kalaburagi,,"Ganagapur Road, Choudapur, Afzalpur Tq.",17.340746,76.589503,private-recognized,8050612474,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.471298+00:00,HIGH,"Ganagapur Road, Kalaburagi, Karnataka, India"
tc-051,Gurukal ITI,Private ITI,Kalaburagi,,"82, Sy No-31 Part of Village Nizampur Near Kamal Narag",,,private-recognized,9845508098,,src-024,2026-09-05,FAILED,,,LOW,"Sy Part of Village Nizampur Kamal Narag, Kalaburagi, Karnataka, India"
tc-052,"National Industrial Training Institute, Kalaburagi",Private ITI,Kalaburagi,,"Hafthagumbad, Darga Road, Kalaburagi",17.278791,76.870511,private-recognized,08472-272025,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.471699+00:00,HIGH,"National Kalaburagi, Kalaburagi, Karnataka, India"
tc-053,"Hyderabad Karnataka Education Society's Industrial Training Institute, Kalaburagi",Private ITI,Kalaburagi,,"PDA Engineering College Premises, Kalaburagi",,,private-recognized,08472-2233320,,src-024,2026-09-05,FAILED,,,LOW,"PDA Engineering College Premises, Kalaburagi, Karnataka, India"
tc-054,"Ashrapree Industrail Training Institute Krishnapur, Hubli",Private ITI,Dharwad (Hubballi-Dharwad),,"27/2A Krishnapur Jawahar Nagar Gudihal Road Old-Hubli, Hubli-580024",15.335146,75.128392,private-recognized,0836-2203957,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.472142+00:00,HIGH,"580024, Dharwad, Karnataka, India"
tc-055,SSK Hitavardhaka Sangh Y.T Miskin PVT. ITI. Hubli,Private ITI,Dharwad (Hubballi-Dharwad),,"4th Cross, Mayur Nagar, Anand Nagar, Old Hubli, Hubli",15.392901,75.078684,private-recognized,0836-2202296,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.472524+00:00,HIGH,"th Cross, Dharwad, Karnataka, India"
tc-056,"Navalagund Taluka Shikshana Samsthe, Navalagund",Private ITI,Dharwad (Hubballi-Dharwad),,Navalagund,,,private-recognized,08380-229074,,src-024,2026-09-05,FAILED,,,LOW,"Navalagund, Dharwad, Karnataka, India"
tc-057,Shri Guru Gorakshanath ITI Tarihal Road Gokul Hubli,Private ITI,Dharwad (Hubballi-Dharwad),,266/1 Tarihal Road Gokul Hubli-580026,15.350742,75.112109,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.473016+00:00,HIGH,"580026, Dharwad, Karnataka, India"
tc-058,"Vijayanand Institute of Technology ITI Varur, Hubli",Private ITI,Dharwad (Hubballi-Dharwad),,Hubli,15.351838,75.137985,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.473200+00:00,HIGH,"Hubli, Karnataka, India"
tc-059,"Sai Sangam ITI, Hubli",Private ITI,Dharwad (Hubballi-Dharwad),,"Sulya Road, Hubli",,,private-recognized,0836-2281327,,src-024,2026-09-05,FAILED,,,LOW,"Sulya Road, Dharwad, Karnataka, India"
tc-060,Sanmith ITI Dharwad,Private ITI,Dharwad (Hubballi-Dharwad),,"Vivekanandanagar, Gopalagowda Extn.",,,private-recognized,0836-6451213,,src-024,2026-09-05,FAILED,,,LOW,"Vivekanandanagar, Dharwad, Karnataka, India"
tc-061,Jnanajyothi ITI Dharwad,Private ITI,Dharwad (Hubballi-Dharwad),,"Jadhav Building, 1st Cross, Marata Colony",,,private-recognized,0836-2444683,,src-024,2026-09-05,FAILED,,,LOW,"Jadhav Building, Dharwad, Karnataka, India"
tc-062,Most Rev. Dr. V P Dandin ITI Dharwad,Private ITI,Dharwad (Hubballi-Dharwad),,"Near CSI College of Commerce, Dharwad",15.456741,75.008934,private-recognized,0836-2442322,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.473845+00:00,HIGH,"CSI College of Commerce, Dharwad, Karnataka, India"
tc-063,Jeeveswara Shikehan Samithi ITI Hubli,Private ITI,Dharwad (Hubballi-Dharwad),,"Channapeth Ganjipeth, Old Hubli",,,private-recognized,0836-2237799,,src-024,2026-09-05,FAILED,,,LOW,"Channapeth Ganjipeth, Dharwad, Karnataka, India"
tc-064,"N W K R T C Industrial Training Institute, Hubli",Private ITI,Dharwad (Hubballi-Dharwad),,"Gokul Road, Hubli",15.354982,75.088712,private-recognized,8362333002,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.474373+00:00,HIGH,"Gokul Road, Dharwad, Karnataka, India"
tc-065,Sri Dharmastala Manjunathaeshwara Pvt. ITI Sattur Dharwad,Private ITI,Dharwad (Hubballi-Dharwad),,"Dhavalagiri, Sattur P.B.Road",,,private-recognized,0836-2466266,,src-024,2026-09-05,FAILED,,,LOW,"Dhavalagiri, Dharwad, Karnataka, India"
tc-066,Shivanand ITI Dharwad,Private ITI,Dharwad (Hubballi-Dharwad),,At Dharwad,15.45405,75.006652,private-recognized,9008449375,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.474718+00:00,HIGH,"At Dharwad, Dharwad, Karnataka, India"
tc-067,"Sai Industrial Training Institute, Dharwad",Private ITI,Dharwad (Hubballi-Dharwad),,Near Basava Colony Opp. Agriculture Colony University,15.3629,75.121709,private-recognized,0836-244277,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.475065+00:00,HIGH,"Sai Dharwad, Dharwad, Karnataka, India"
tc-068,"SNVVS Private ITI, Samping Nagar Dharwad",Private ITI,Dharwad (Hubballi-Dharwad),,Adichunchanagiri Mutt Samping Nagar,,,private-recognized,8362113310,,src-024,2026-09-05,FAILED,,,LOW,"Adichunchanagiri Mutt Samping Nagar, Dharwad, Karnataka, India"
tc-069,Vijayanagara Industrial Training Institute,Private ITI,Ballari,,Kamalapura Hospet Tq. Bellary Dt.,,,private-recognized,9916469882,,src-024,2026-09-05,AMBIGUOUS,osm-nominatim,,AMBIGUOUS,"Vijayanagara, Ballari, Karnataka, India"
tc-070,TMAE Societys Sri Thimmaiah Shetty ITI Hagaribommanahalli,Private ITI,Ballari,,Kadalabalu Road Ramanagara Hagaribommanahalli,,,private-recognized,08397-270356,,src-024,2026-09-05,FAILED,,,LOW,"Kadalabalu Road Ramanagara Hagaribommanahalli, Ballari, Karnataka, India"
tc-071,"Sree Jagadguru Kotturswamy ITI, Siruguppa",Private ITI,Ballari,,"Bellary Road, Siruguppa",15.067383,77.035399,private-recognized,9901358099,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.475933+00:00,HIGH,"Bellary Road, Ballari, Karnataka, India"
tc-072,S.P.G.U Education Society ITI,Private ITI,Ballari,,Kuduthini,15.198551,76.759428,private-recognized,9741118339,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.476105+00:00,HIGH,"Kuduthini, Ballari, Karnataka, India"
tc-073,Yerriswamy Education Trust ITC,Private ITI,Ballari,,"Mullangi Sanjeevappa Street, Bellary",,,private-recognized,8392201729,,src-024,2026-09-05,FAILED,,,LOW,"Mullangi Sanjeevappa Street, Ballari, Karnataka, India"
tc-074,Neelamma Basaveshwara Industrial Training Centre Bellary,Private ITI,Ballari,,"Mullangi Sanjeevappa Street, Bellary",,,private-recognized,8392201729,,src-024,2026-09-05,FAILED,,,LOW,"Mullangi Sanjeevappa Street, Ballari, Karnataka, India"
tc-075,"Sri Gurukottureshwara Rural ITI, Emmiganur",Private ITI,Ballari,,Emmiganur,,,private-recognized,9036551601,,src-024,2026-09-05,FAILED,,,LOW,"Emmiganur, Ballari, Karnataka, India"
tc-076,"Srikari I.T.C., Ranipet, Hospet, Bellary",Private ITI,Ballari,,Hospet,15.273652,76.385619,private-recognized,9880631000,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.476697+00:00,HIGH,"Hospet, Ballari, Karnataka, India"
tc-077,T M A E S Industrial Training Institute Hospet,Private ITI,Ballari,,Bellary Road Hospet,15.268583,76.404893,private-recognized,8394265464,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.476947+00:00,HIGH,"Bellary Road Hospet, Karnataka, India"
tc-078,Vishweshwaraiya Private ITI Hosapete,Private ITI,Ballari,,"Sandur Road, Hosapete",14.982649,76.518232,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.477140+00:00,HIGH,"Sandur Road, Ballari, Karnataka, India"
tc-079,Dr. B.R. Ambedkar Industrial Training Institute Hospet,Private ITI,Ballari,,Anantha Shayana Gudi Hospet,,,private-recognized,8394226908,,src-024,2026-09-05,FAILED,,,LOW,"Anantha Shayana Gudi Hospet, Ballari, Karnataka, India"
tc-080,"Jagadguru Kotturswamy ITI, Bellary",Private ITI,Ballari,,"Ganesh Gudi Beedi, Bellary",,,private-recognized,9901531845,,src-024,2026-09-05,FAILED,,,LOW,"Ganesh Gudi Beedi, Ballari, Karnataka, India"
tc-081,Sri Hanumanthappa ITI Mariyammanahalli,Private ITI,Ballari,,"Mariyammanahalli, Hospet TQ.",15.161115,76.358454,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.477604+00:00,HIGH,"Mariyammanahalli, Hospet, Karnataka, India"
tc-082,Sri Bharath Industrial Training Centre,Private ITI,Ballari,,Hosa Daroji Post Tq. Sandur,,,private-recognized,8495959501,,src-024,2026-09-05,FAILED,,,LOW,"Hosa Daroji Post . Sandur, Ballari, Karnataka, India"
tc-083,"Shri Kumar Swamy ITI Sandur, Bellary",Private ITI,Ballari,,"Sandur, Sandur (T)",15.083275,76.543411,private-recognized,08395-215593,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.477913+00:00,HIGH,"Sandur, Ballari, Karnataka, India"
tc-084,"Sri Veerabadreshwara ITI, Shirur",Private ITI,Bagalkot,,Shirur,16.158549,75.669537,private-recognized,08354-201050,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.478046+00:00,HIGH,"Shirur, Bagalkot, Karnataka, India"
tc-085,"Shrimann Madhwacharya Private Industrial Training Institute, Bagalkot",Private ITI,Bagalkot,,Badami Road Near Old APMC Bagalkot,,,private-recognized,08354-220923,,src-024,2026-09-05,FAILED,,,LOW,"Badami Road Old APMC Bagalkot, Bagalkot, Karnataka, India"
tc-086,Vishwa Bharti ITI Telasang,Private ITI,Belagavi,,Tel Sang Athani T.Q,,,private-recognized,08289-285627,,src-024,2026-09-05,FAILED,,,LOW,"Tel Sang Athani T.Q, Belagavi, Karnataka, India"
tc-087,"Komalanna Doddanannavar Bharatesh Pvt ITI, Belgaum",Private ITI,Belagavi,,Basavan Kudachi Extension Belgaum,,,private-recognized,0831-2490051,,src-024,2026-09-05,FAILED,,,LOW,"Basavan Kudachi Extension Belgaum, Belagavi, Karnataka, India"
tc-088,Vidyaniketan Rural I.T.I. Manhalli,Private ITI,Bidar,,Manhalli Tq & Dist Bidar,17.762798,77.504546,private-recognized,,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.478624+00:00,HIGH,"Manhalli & Bidar, Bidar, Karnataka, India"
tc-089,Hind I.T.I. Mahadev Complex Udgir Road Shiv Nagar Bidar,Private ITI,Bidar,,"Near, Papnash Gate Mahadev Complex Udgir Road Bidar",,,private-recognized,08482-226935,,src-024,2026-09-05,FAILED,,,LOW,"Papnash Gate Mahadev Complex Udgir Road Bidar, Bidar, Karnataka, India"
tc-090,Shri Sanganabasaveshwar Private industrial Training institute Lachyan,Private ITI,Vijayapura,,Post Lachyan Tq Indi,,,private-recognized,9632373222,,src-024,2026-09-05,FAILED,,,LOW,"Post Lachyan Indi, Vijayapura, Karnataka, India"
tc-091,"Karnataka ITI, Sindhagi",Private ITI,Vijayapura,,Sindhagi,,,private-recognized,,,src-024,2026-09-05,FAILED,,,LOW,"Sindhagi, Vijayapura, Karnataka, India"
tc-092,JSS Private Industrial Training Institute,Private ITI,Chamarajanagar,,"Main Road, Mariyala",11.929324,76.942012,private-recognized,08226-230170,,src-024,2026-09-05,SUCCESS,osm-nominatim,2026-09-06T06:19:35.479267+00:00,HIGH,"Main Road, Chamarajanagar, Karnataka, India"
tc-093,Sri Vivekananda Industrial Training Institute,Private ITI,Chamarajanagar,,B R Hills Yalandur,,,private-recognized,08226-240170,,src-024,2026-09-05,FAILED,,,LOW,"B R Hills Yalandur, Chamarajanagar, Karnataka, India"
tc-094,Sir M. Visveswaraiah Industrial Training Institute,Private ITI,Chikkaballapura,,C.V.V.Campus,,,private-recognized,08156-263077,,src-024,2026-09-05,FAILED,,,LOW,"C.V.V.Campus, Chikkaballapura, Karnataka, India"
